"","SITE","lat","DHW_Mean","DHW_MeanMax_Major","DHW_Dur","DHW_Dur_Major","DHW_Max_Major","DHW_Max_Major5","SST_AnnRange","SST_MonthRange","SST_Mean","SST_Q05","SST_Q95","SST_SD","SST_BiweekRange","DATE_","COLONYLENGTH","MAX_DEPTH_M","Area_surveyed_m2","PER_DEAD","LATITUDE","LONGITUDE","YEAR","TAIL_BINS","Data_Source","Bleaching_Period","month","prop_DEAD"
"160","TUT-139",-14.352648,15.5891466140747,15.5891466140747,149,91,15.5891466140747,15.5891466140747,2.85249996185303,1.29858350753784,28.942750716536,27.4592002868652,30.4468002319336,0.941314666663432,0.915407463356301,2025-03-15,25,12.192,60,5,-14.352648,-170.787165,2025,"QMED","esa","Post-Bleaching",3,0.05
"161","TUT-139",-14.352648,15.5891466140747,15.5891466140747,149,91,15.5891466140747,15.5891466140747,2.85249996185303,1.29858350753784,28.942750716536,27.4592002868652,30.4468002319336,0.941314666663432,0.915407463356301,2025-03-15,31,12.192,60,95,-14.352648,-170.787165,2025,"QMED","esa","Post-Bleaching",3,0.95
"162","TUT-139",-14.352648,15.5891466140747,15.5891466140747,149,91,15.5891466140747,15.5891466140747,2.85249996185303,1.29858350753784,28.942750716536,27.4592002868652,30.4468002319336,0.941314666663432,0.915407463356301,2025-03-15,19,12.192,60,0,-14.352648,-170.787165,2025,"QMED","esa","Post-Bleaching",3,0
"163","TUT-139",-14.352648,15.5891466140747,15.5891466140747,149,91,15.5891466140747,15.5891466140747,2.85249996185303,1.29858350753784,28.942750716536,27.4592002868652,30.4468002319336,0.941314666663432,0.915407463356301,2025-03-15,17,12.192,60,0,-14.352648,-170.787165,2025,"QMED","esa","Post-Bleaching",3,0
"164","TUT-139",-14.352648,15.5891466140747,15.5891466140747,149,91,15.5891466140747,15.5891466140747,2.85249996185303,1.29858350753784,28.942750716536,27.4592002868652,30.4468002319336,0.941314666663432,0.915407463356301,2025-03-15,25,12.192,60,55,-14.352648,-170.787165,2025,"QMED","esa","Post-Bleaching",3,0.55
"165","TUT-139",-14.352648,15.5891466140747,15.5891466140747,149,91,15.5891466140747,15.5891466140747,2.85249996185303,1.29858350753784,28.942750716536,27.4592002868652,30.4468002319336,0.941314666663432,0.915407463356301,2025-03-15,40,12.192,60,40,-14.352648,-170.787165,2025,"QMED","esa","Post-Bleaching",3,0.4
"166","TUT-139",-14.352648,15.5891466140747,15.5891466140747,149,91,15.5891466140747,15.5891466140747,2.85249996185303,1.29858350753784,28.942750716536,27.4592002868652,30.4468002319336,0.941314666663432,0.915407463356301,2025-03-15,19,12.192,60,10,-14.352648,-170.787165,2025,"QMED","esa","Post-Bleaching",3,0.1
"167","TUT-139",-14.352648,15.5891466140747,15.5891466140747,149,91,15.5891466140747,15.5891466140747,2.85249996185303,1.29858350753784,28.942750716536,27.4592002868652,30.4468002319336,0.941314666663432,0.915407463356301,2025-03-15,38,12.192,60,25,-14.352648,-170.787165,2025,"QMED","esa","Post-Bleaching",3,0.25
"168","TUT-139",-14.352648,15.5891466140747,15.5891466140747,149,91,15.5891466140747,15.5891466140747,2.85249996185303,1.29858350753784,28.942750716536,27.4592002868652,30.4468002319336,0.941314666663432,0.915407463356301,2025-03-15,19,12.192,60,50,-14.352648,-170.787165,2025,"QMED","esa","Post-Bleaching",3,0.5
"169","TUT-139",-14.352648,15.5891466140747,15.5891466140747,149,91,15.5891466140747,15.5891466140747,2.85249996185303,1.29858350753784,28.942750716536,27.4592002868652,30.4468002319336,0.941314666663432,0.915407463356301,2025-03-15,20,12.192,60,0,-14.352648,-170.787165,2025,"QMED","esa","Post-Bleaching",3,0
"170","TUT-139",-14.352648,15.5891466140747,15.5891466140747,149,91,15.5891466140747,15.5891466140747,2.85249996185303,1.29858350753784,28.942750716536,27.4592002868652,30.4468002319336,0.941314666663432,0.915407463356301,2025-03-15,17,12.192,60,1,-14.352648,-170.787165,2025,"QMED","esa","Post-Bleaching",3,0.01
